date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-03-21,5.94,6.22,5.89,5.89,65756.04,-0.08,-1.34,5.912,6.03,5.766,49310.14,80434.19,57537.3
2018-03-20,5.82,5.98,5.97,5.75,46560.37,0.11,1.88,5.916,6.05,5.739,46593.6,86735.2,54859.65
2018-03-19,5.84,5.89,5.86,5.72,37842.97,-0.05,-0.85,5.934,6.007,5.704,49131.34,88174.4,53111.71
2018-03-16,5.89,6.0,5.91,5.83,35035.33,-0.02,-0.34,5.998,5.958,5.674,59114.59,86863.6,51751.81
2018-03-15,5.89,6.05,5.93,5.8,61356.0,0.02,0.34,6.058,5.915,5.639,81724.78,87264.36,50865.84
2018-03-14,6.01,6.07,5.91,5.88,52173.34,-0.15,-2.48,6.148,5.868,5.607,111558.24,83135.0,48326.49
2018-03-13,6.16,6.16,6.06,6.05,59249.07,-0.12,-1.94,6.184,5.819,5.575,126876.79,79301.42,46340.47
2018-03-12,6.14,6.23,6.18,6.13,87759.2,-0.03,-0.48,6.08,5.754,5.533,127217.45,75026.66,44224.56
2018-03-09,6.16,6.34,6.21,6.03,148086.31,-0.17,-2.67,5.918,5.681,5.505,114612.61,68014.02,40350.84
2018-03-08,6.0,6.68,6.38,5.94,210523.27,0.29,4.76,5.772,5.6,5.476,92803.94,54413.56,34057.73
2018-03-07,5.46,6.09,6.09,5.46,128766.12,0.55,9.93,5.588,5.501,5.436,54711.75,34640.41,25019.99
2018-03-06,5.39,5.58,5.54,5.33,60952.36,0.17,3.17,5.454,5.427,5.424,31726.04,22984.1,19607.18
2018-03-05,5.42,5.47,5.37,5.34,24735.0,-0.11,-2.01,5.428,5.401,5.445,22835.87,18049.02,17693.98
2018-03-02,5.45,5.68,5.48,5.37,39042.96,0.02,0.37,5.444,5.39,5.478,21415.43,16640.02,17127.38
2018-03-01,5.4,5.48,5.46,5.36,20062.32,0.04,0.74,5.428,5.363,5.509,16023.17,14467.32,16015.88
2018-02-28,5.4,5.43,5.42,5.33,13837.57,0.01,0.18,5.414,5.345,5.541,14569.07,13517.99,16434.81
2018-02-27,5.44,5.45,5.41,5.35,16501.52,-0.04,-0.73,5.4,5.331,5.574,14242.16,13379.52,16279.98
2018-02-26,5.49,5.51,5.45,5.39,17632.8,0.05,0.93,5.374,5.312,5.607,13262.17,13422.47,15938.16
2018-02-23,5.36,5.41,5.4,5.34,12081.64,0.01,0.19,5.336,5.328,5.639,11864.61,12687.65,15548.12
2018-02-22,5.38,5.4,5.39,5.32,12791.84,0.04,0.75,5.298,5.351,5.674,12911.46,13701.91,15565.74
2018-02-14,5.28,5.38,5.35,5.25,12203.0,0.07,1.33,5.276,5.37,5.708,12466.9,15399.57,15671.59
2018-02-13,5.28,5.3,5.28,5.24,11601.58,0.02,0.38,5.262,5.42,5.745,12516.88,16230.27,16202.63
2018-02-12,5.18,5.3,5.26,5.18,10645.01,0.05,0.96,5.25,5.488,5.786,13582.76,17338.94,16485.39
2018-02-09,5.23,5.25,5.21,5.08,17315.89,-0.07,-1.33,5.32,5.566,5.829,13510.69,17614.73,16981.25
2018-02-08,5.19,5.33,5.28,5.19,10569.02,0.0,0.0,5.404,5.655,5.881,14492.35,17564.44,16933.4
2018-02-07,5.23,5.36,5.28,5.16,12452.88,0.06,1.15,5.464,5.737,5.929,18332.23,19351.64,17163.95
2018-02-06,5.6,5.6,5.22,5.18,16931.0,-0.39,-6.95,5.578,5.816,5.977,19943.65,19180.45,17435.1
2018-02-05,5.43,5.62,5.61,5.43,10284.66,-0.02,-0.35,5.726,5.902,6.03,21095.12,18453.85,17199.74
2018-02-02,5.53,5.63,5.63,5.38,22224.21,0.05,0.9,5.812,5.949,6.066,21718.77,18408.59,18063.48
2018-02-01,5.84,5.86,5.58,5.49,29768.4,-0.27,-4.62,5.906,5.996,6.107,20636.53,17429.57,19987.31
2018-01-31,5.93,5.95,5.85,5.75,20510.0,-0.11,-1.85,6.01,6.046,6.142,20371.05,15943.62,19082.37
2018-01-30,6.03,6.03,5.96,5.89,22688.35,-0.08,-1.32,6.054,6.07,6.165,18417.25,16174.99,18856.87
2018-01-29,6.08,6.08,6.04,6.01,13402.88,-0.06,-0.98,6.078,6.084,6.18,15812.58,15631.84,18311.11
2018-01-26,6.1,6.12,6.1,6.05,16813.0,0.0,0.0,6.086,6.092,6.188,15098.41,16347.76,18216.87
2018-01-25,6.07,6.19,6.1,6.06,28441.01,0.03,0.49,6.086,6.106,6.194,14222.61,16302.36,18158.3
2018-01-24,6.04,6.08,6.07,6.03,10741.0,-0.01,-0.16,6.082,6.121,6.203,11516.19,14976.25,17550.4
2018-01-23,6.08,6.11,6.08,6.04,9665.01,0.0,0.0,6.086,6.137,6.219,13932.73,15689.75,17520.56
2018-01-22,6.1,6.1,6.08,6.02,9832.01,-0.02,-0.33,6.09,6.158,6.236,15451.09,15945.63,17673.06
2018-01-19,6.06,6.1,6.1,6.03,12434.0,0.02,0.33,6.098,6.182,6.262,17597.12,17718.38,18101.76
2018-01-18,6.09,6.11,6.08,6.0,14908.94,-0.01,-0.16,6.126,6.217,6.287,18382.12,22545.05,18148.51
2018-01-17,6.13,6.13,6.09,5.96,22823.67,-0.01,-0.16,6.16,6.238,6.315,18436.32,22221.11,17975.47
2018-01-16,6.1,6.15,6.1,6.06,17256.85,-0.02,-0.33,6.188,6.26,6.342,17446.78,21538.75,17369.49
2018-01-15,6.24,6.29,6.12,6.05,20562.13,-0.12,-1.92,6.226,6.276,6.369,16440.16,20990.38,17286.81
2018-01-12,6.25,6.26,6.24,6.16,16359.0,-0.01,-0.16,6.266,6.284,6.397,17839.63,20085.97,16957.38
2018-01-11,6.19,6.25,6.25,6.13,15179.93,0.02,0.32,6.308,6.281,6.417,26707.98,20014.23,16783.69
2018-01-10,6.29,6.31,6.23,6.17,17876.0,-0.06,-0.95,6.316,6.284,6.437,26005.91,20124.54,16462.56
2018-01-09,6.32,6.38,6.29,6.28,12223.74,-0.03,-0.47,6.332,6.301,6.458,25630.71,19351.37,16106.83
2018-01-08,6.38,6.38,6.32,6.25,27559.49,-0.13,-2.02,6.326,6.314,6.478,25540.6,19400.5,16066.05
2018-01-05,6.29,6.65,6.45,6.25,60700.72,0.16,2.54,6.302,6.342,6.498,22332.3,18485.15,15255.45
2018-01-04,6.32,6.35,6.29,6.26,11669.61,-0.02,-0.32,6.254,6.357,6.508,13320.48,13751.98,12844.53
2018-01-03,6.29,6.33,6.31,6.24,16000.0,0.05,0.8,6.252,6.391,6.524,14243.16,13729.82,12683.14
2018-01-02,6.18,6.27,6.26,6.18,11773.18,0.06,0.97,6.27,6.423,6.54,13072.04,13200.24,12829.21
